support,itemsets
0.6633333333333333,"frozenset({'children_(-0.003, 1.0]'})"
0.6516666666666666,frozenset({'mortgage_NO'})
0.5066666666666667,frozenset({'car_NO'})
0.5,frozenset({'sex_FEMALE'})
0.475,"frozenset({'income_(4956.094, 24386.173]'})"
0.45666666666666667,frozenset({'pep_YES'})
0.4483333333333333,frozenset({'region_INNER_CITY'})
0.3566666666666667,"frozenset({'age_(34.333, 50.667]'})"
0.34,frozenset({'married_NO'})
0.31,frozenset({'save_act_NO'})
0.24166666666666667,frozenset({'current_act_NO'})
0.7583333333333333,frozenset({'current_act_YES'})
0.66,frozenset({'married_YES'})
0.5433333333333333,frozenset({'pep_NO'})
0.5,frozenset({'sex_MALE'})
0.49333333333333335,frozenset({'car_YES'})
0.39166666666666666,"frozenset({'income_(24386.173, 43758.137]'})"
0.34833333333333333,frozenset({'mortgage_YES'})
0.28833333333333333,frozenset({'region_TOWN'})
0.69,frozenset({'save_act_YES'})
0.31833333333333336,"frozenset({'age_(50.667, 67.0]'})"
0.325,"frozenset({'age_(17.951, 34.333]'})"
0.22333333333333333,"frozenset({'children_(1.0, 2.0]'})"
0.5,"frozenset({'current_act_YES', 'children_(-0.003, 1.0]'})"
0.4483333333333333,"frozenset({'save_act_YES', 'children_(-0.003, 1.0]'})"
0.3433333333333333,"frozenset({'save_act_YES', 'current_act_YES', 'children_(-0.003, 1.0]'})"
0.41333333333333333,"frozenset({'mortgage_NO', 'children_(-0.003, 1.0]'})"
0.5016666666666667,"frozenset({'current_act_YES', 'mortgage_NO'})"
0.45,"frozenset({'save_act_YES', 'mortgage_NO'})"
0.435,"frozenset({'mortgage_NO', 'married_YES'})"
0.32166666666666666,"frozenset({'current_act_YES', 'mortgage_NO', 'children_(-0.003, 1.0]'})"
0.2866666666666667,"frozenset({'children_(-0.003, 1.0]', 'mortgage_NO', 'married_YES'})"
0.2783333333333333,"frozenset({'save_act_YES', 'mortgage_NO', 'children_(-0.003, 1.0]'})"
0.22166666666666668,"frozenset({'children_(-0.003, 1.0]', 'current_act_YES', 'mortgage_NO', 'married_YES'})"
0.22333333333333333,"frozenset({'save_act_YES', 'current_act_YES', 'mortgage_NO', 'children_(-0.003, 1.0]'})"
0.35333333333333333,"frozenset({'save_act_YES', 'current_act_YES', 'mortgage_NO'})"
0.33166666666666667,"frozenset({'current_act_YES', 'mortgage_NO', 'married_YES'})"
0.30666666666666664,"frozenset({'save_act_YES', 'mortgage_NO', 'married_YES'})"
0.23666666666666666,"frozenset({'save_act_YES', 'current_act_YES', 'mortgage_NO', 'married_YES'})"
0.345,"frozenset({'car_NO', 'children_(-0.003, 1.0]'})"
0.3283333333333333,"frozenset({'car_NO', 'mortgage_NO'})"
0.39166666666666666,"frozenset({'car_NO', 'current_act_YES'})"
0.33666666666666667,"frozenset({'car_NO', 'married_YES'})"
0.28,"frozenset({'car_NO', 'pep_NO'})"
0.3416666666666667,"frozenset({'car_NO', 'save_act_YES'})"
0.265,"frozenset({'car_NO', 'current_act_YES', 'children_(-0.003, 1.0]'})"
0.21833333333333332,"frozenset({'car_NO', 'mortgage_NO', 'children_(-0.003, 1.0]'})"
0.2633333333333333,"frozenset({'car_NO', 'current_act_YES', 'mortgage_NO'})"
0.22166666666666668,"frozenset({'car_NO', 'mortgage_NO', 'married_YES'})"
0.215,"frozenset({'car_NO', 'save_act_YES', 'mortgage_NO'})"
0.25166666666666665,"frozenset({'car_NO', 'current_act_YES', 'married_YES'})"
0.23333333333333334,"frozenset({'car_NO', 'children_(-0.003, 1.0]', 'married_YES'})"
0.22166666666666668,"frozenset({'car_NO', 'save_act_YES', 'married_YES'})"
0.21,"frozenset({'car_NO', 'pep_NO', 'married_YES'})"
0.20833333333333334,"frozenset({'car_NO', 'pep_NO', 'current_act_YES'})"
0.225,"frozenset({'car_NO', 'save_act_YES', 'children_(-0.003, 1.0]'})"
0.265,"frozenset({'car_NO', 'save_act_YES', 'current_act_YES'})"
0.3416666666666667,"frozenset({'sex_FEMALE', 'mortgage_NO'})"
0.33,"frozenset({'sex_FEMALE', 'children_(-0.003, 1.0]'})"
0.255,"frozenset({'car_NO', 'sex_FEMALE'})"
0.38333333333333336,"frozenset({'sex_FEMALE', 'current_act_YES'})"
0.3433333333333333,"frozenset({'save_act_YES', 'sex_FEMALE'})"
0.325,"frozenset({'sex_FEMALE', 'married_YES'})"
0.2833333333333333,"frozenset({'sex_FEMALE', 'pep_NO'})"
0.265,"frozenset({'sex_FEMALE', 'current_act_YES', 'mortgage_NO'})"
0.23,"frozenset({'save_act_YES', 'sex_FEMALE', 'mortgage_NO'})"
0.21666666666666667,"frozenset({'sex_FEMALE', 'mortgage_NO', 'children_(-0.003, 1.0]'})"
0.255,"frozenset({'sex_FEMALE', 'current_act_YES', 'children_(-0.003, 1.0]'})"
0.22333333333333333,"frozenset({'save_act_YES', 'sex_FEMALE', 'children_(-0.003, 1.0]'})"
0.2,"frozenset({'car_NO', 'sex_FEMALE', 'current_act_YES'})"
0.26666666666666666,"frozenset({'save_act_YES', 'sex_FEMALE', 'current_act_YES'})"
0.24333333333333335,"frozenset({'sex_FEMALE', 'current_act_YES', 'married_YES'})"
0.23,"frozenset({'sex_FEMALE', 'mortgage_NO', 'married_YES'})"
0.22833333333333333,"frozenset({'save_act_YES', 'sex_FEMALE', 'married_YES'})"
0.22166666666666668,"frozenset({'sex_FEMALE', 'children_(-0.003, 1.0]', 'married_YES'})"
0.21333333333333335,"frozenset({'sex_FEMALE', 'pep_NO', 'current_act_YES'})"
0.21166666666666667,"frozenset({'sex_FEMALE', 'pep_NO', 'married_YES'})"
0.20333333333333334,"frozenset({'save_act_YES', 'sex_FEMALE', 'pep_NO'})"
0.31833333333333336,"frozenset({'income_(4956.094, 24386.173]', 'children_(-0.003, 1.0]'})"
0.31333333333333335,"frozenset({'income_(4956.094, 24386.173]', 'mortgage_NO'})"
0.27,"frozenset({'income_(4956.094, 24386.173]', 'car_NO'})"
0.22666666666666666,"frozenset({'income_(4956.094, 24386.173]', 'sex_FEMALE'})"
0.35833333333333334,"frozenset({'income_(4956.094, 24386.173]', 'current_act_YES'})"
0.325,"frozenset({'income_(4956.094, 24386.173]', 'married_YES'})"
0.29333333333333333,"frozenset({'income_(4956.094, 24386.173]', 'pep_NO'})"
0.285,"frozenset({'income_(4956.094, 24386.173]', 'save_act_YES'})"
0.205,"frozenset({'income_(4956.094, 24386.173]', 'car_YES'})"
0.24833333333333332,"frozenset({'income_(4956.094, 24386.173]', 'sex_MALE'})"
0.23833333333333334,"frozenset({'income_(4956.094, 24386.173]', 'current_act_YES', 'children_(-0.003, 1.0]'})"
0.22166666666666668,"frozenset({'income_(4956.094, 24386.173]', 'children_(-0.003, 1.0]', 'married_YES'})"
0.20166666666666666,"frozenset({'income_(4956.094, 24386.173]', 'mortgage_NO', 'children_(-0.003, 1.0]'})"
